Name,ID,Listed Price,Lot Size,Listing Date,Underwriter(s),Sponsor(s),Payee Bank,No. of Global Offered Shares,Lower Price,Upper Price,Market Cap mean,Market Cap spread (%),No. of HK Offered Shares,No. of HK Offered Shares(%),No. of International Placing Shares,No. of International Placing Shares(%),YearFinancialComp,Current Ratio (X),Quick Ratio (X),Long Term Debt/Equity (%),Total Debt/Equity (%),Total Debt/Capital Employed (%),Return on Equity (%),Return on Capital Employ (%),Return on Total Assets (%),Operating Profit Margin (%),Pre-tax Profit Margin (%),Net Profit Margin (%),Inventory Turnover (X),Dividend Payout (%),YearPnL,Currency,Unit,Turnover,Operating Profit,Exceptional Items,Associates,Pre-tax Operating Profit,Taxation,Minority Interests,Profit Attributable to Shareholders,Depreciation,Interest Paid,Interest Capitalized,Disposal / Revaluation of Fixed Assets,Taxation Rate (%),Turnover Growth (%),Growth of Profit Attributable to Shareholders (%),Currency,Unit,Net Cash Flow from Operating Activities,Net Cash Flow from Return on Investments & Servicing of Finance,Interest Received,Interest Paid,Dividend Received,Dividend Paid,Net Cash Flow from Return on Investments & Servicing of Finance : Others,Refunded/Taxes(Paid),Net Cash Flow from Investing Activities,Additions to Fixed Assets,Disposal of Fixed Assets,Increase in Investments,Decrease in Investments,Net Cash Flow with Related Parties,Net Cash Flow from Investing Activities : Others,Net Cash Flow before Financing Activities,Net Cash Flow from Financing Activities,New Loans,Loans Repayment,Fixed Interest/Debt Instruments Financing,Repayment of Fixed Interest/Debt Instruments Financing,Equity Financing,Net Cash Flow from Financing Activities : Others,Increase(Decrease) in Cash & Cash Equivalents,Cash & Cash Equivalents at Beginning of Year,Net Cash Flow due to Change in Exchange Rate/Others,Cash & Cash Equivalents at End of Year,YearCashFlow,Currency,Unit,Fixed Assets,Investments,Current Assets,Other Assets,Total Assets,Long Term Debt,Other Long Term Liabilities,Current Liabilities,Share Capital,Reserves,Equity,Inventory,Cash in Hand,Short Term Debt,Total Debt,YearBalanceSheet,PE Ratio,PB Ratio
SUNKWAN PPT,HKG:6900,2.28,2000.0, 2020/11/17," ABCI Securities Company Limited, CRIC Securities Company Limited, Haitong International Securities Company Limited, CMB International Capital Limited, Livermore Holdings Limited", ABCI Capital Limited,"
Bank Area Branch Address
Bank of China (Hong Kong) Limited Hong Kong Island Des Voeux Road West Branch 111-119 Des Voeux Road West, Hong Kong
Kowloon Whampoa Garden Branch Shop G8B, Site 1, Whampoa Garden, Hung Hom
Tsim Sha Tsui East Branch Shop 3, LG/F, Hilton Towers 96 Granville Road Tsim Sha Tsui East
New Territories East Point City Branch Shop Nos. 217 D-E, Level 2, East Point City, 8 Chung Wa Road, Tseung Kwan O, New Territories
Tuen Mun Town Plaza Branch Shop 2, Tuen Mun Town Plaza Phase II
CMB Wing Lung Bank, Limited Hong Kong Island Central Branch 189 Des Voeux Road Central
Kowloon Mongkok Branch B/F CMB Wing Lung Bank Centre, 636 Nathan Road
Industrial and Commercial Bank of China (Asia) Limited Hong Kong Island Sheung Wan Branch Shop F, G/F, Kai Tak Commercial Building, 317-319 Des Voeux Road Central, Sheung Wan
Kowloon Prince Edward Branch 777 Nathan Road, Mongkok, Kowloon",500000000.0,1.7,2.5,4200000000.0,0.19047619047619047, 44738000,0.08900000000000001, 455262000,0.9109999999999999,"['2017/12', '2018/12', '2019/12']",1.116666666666667,0.4633333333333333,504.67666666666673,958.93,127.96333333333335,19.553333333333335,2.5700000000000003,0.6633333333333334,32.06666666666667,32.00666666666667,3.11,0.49000000000000005,0,"['2019/12', '2018/12', '2017/12']","['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",5973750516.666667,2222072550.0,0.0,-4708099.999999999,2217364449.9999995,1686687366.6666667,368122283.33333325,162554800.0,11395733.333333334,936412416.6666665,643887683.3333334,0.0,90191.81666666665,276080.5,144514.75,"['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",658438250.0,-653920283.3333334,15869999.999999998,-664750216.6666665,0.0,-15120199.999999998,0.0,-713804616.6666666,-552320083.3333333,-8742683.333333332,4445900.0,-529674666.6666666,319548199.99999994,-337106399.99999994,-790433.3333333333,-1261606733.3333333,1579607033.3333333,6402413399.999999,-5371150516.666667,0.0,0.0,0.0,21033883.333333332,318000300.0,461864533.33333325,0.0,779864833.3333334,"['2019/12', '2018/12', '2017/12']","['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",193019066.66666666,3326624550.0,18871931250.0,562283683.3333333,22953858549.999996,3874297866.666666,153792566.66666666,16926587799.999996,14950.0,805685783.3333334,805695749.9999999,11052421149.999998,2245192916.6666665,3696174366.666666,7570472233.333332,"['2019/12', '2018/12', '2017/12']",6.459360166540761,0.17876971144278617
JINKE SERVICES,HKG:9666,44.7,100.0, 2020/11/17," CLSA Limite, Huatai Financial Holdings (Hong Kong) Limited, China International Capital Corporation Hong Kong Securities Limited, Citigroup Global Markets Asia Limited, Guotai Junan Securities (Hong Kong) Limited, ICBC International Securities Limited, BOCI Asia Limited, China Merchants Securities (HK) Co., Limited, Essence International Securities (Hong Kong) Limited, Guosen Securities (HK) Capital Company Limited, Haitong International Securities Company Limited, Shenwan Hongyuan Securities (H.K.) Limited"," Huatai Financial Holdings (Hong Kong) Limited, CLSA Capital Markets Limited","
Bank Area Branch Address
Industrial and Commercial Bank of China (Asia) Limited Hong Kong Island Central Branch 1/F, 9 Queen’s Road Central
Causeway Bay Branch Shop A on G/F, 1/F, Hennessy Apartments,488 & 490 Hennessy Road
Kowloon Mongkok Branch G/F., Belgian Bank Building, 721-725 Nathan Road, Mongkok
Telford Branch Shop P19-P20, Telford Plaza, Kowloon Bay, Kowloon
New Territories Tsuen Wan Castle Peak Road Branch G/F, 423-427 Castle Peak Road ,Tsuen Wan
Shatin Branch Shop 22J, Level 3, Shatin Centre",132911400.0,41.8,47.6,5941139580.0,0.06487695749440715, 17943000,0.135, 114968400,0.865,"['2017/12', '2018/12', '2019/12']",1.16,1.16,376.9166666666667,517.2933333333334,107.78000000000002,57.51333333333334,13.536666666666667,5.81,15.14,15.106666666666667,12.4,359.3233333333333,0,"['2019/12', '2018/12', '2017/12']","['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",1877790533.3333333,301457166.6666666,0.0,0.0,300533716.6666666,50599616.666666664,0.0,246015283.3333333,11504599.999999998,164472616.66666663,0.0,0.0,19333.416666666664,56510.99999999999,97169.24999999999,"['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",281568300.0,-334845883.3333333,0.0,-165934650.0,0.0,-168911233.33333334,0.0,-35162783.333333336,-130840099.99999999,-12219516.666666664,147583.33333333334,-27551124.999999996,27729949.999999996,-139249283.3333333,20361899.999999996,-219280466.66666666,196635050.0,1839999999.9999998,-419399249.99999994,0.0,0.0,0.0,0.0,-22645416.666666668,495058516.6666667,0.0,472413100.0,"['2019/12', '2018/12', '2017/12']","['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",36394049.99999999,184000.0,2616894000.0,1451912950.0,4105262333.333333,1442017583.333333,781233.3333333334,2246175400.0,57499999.99999999,344453750.0,401953749.99999994,5198383.333333332,474054533.33333325,570510783.3333333,2012528366.6666667,"['2019/12', '2018/12', '2017/12']",24.149473559129156,3.1970733232965935
BRIGHT FUTURE,HKG:1351,1.1,2000.0, 2020/11/11," SPDB International Capital Limited, lpha International Securities (HONG KONG) Limited, Orient Securities (Hong Kong) Limited", Messis Capital Limited,"
Bank Area Branch Address
CMB Wing Lung Bank, Limited Hong Kong Island Head Office 45 Des Voeux Road Central
Kennedy Town Branch 28 Catchick Street
Kowloon Mongkok Branch B/F CMB Wing Lung Bank Centre, 636 Nathan Road",125000000.0,1.0,1.1,525000000.0,0.047619047619047616, 37500000,0.3, 87500000,0.7,"['2017/12', '2018/12', '2019/12']",1.656666666666667,1.656666666666667,6.743333333333332,18.063333333333333,17.133333333333336,55.44,51.129999999999995,21.366666666666664,21.346666666666668,21.209999999999997,20.116666666666667,0,0,"['2019/12', '2018/12', '2017/12']","['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",245110616.66666663,46614100.0,0.0,0.0,46254533.333333336,5165799.999999999,0.0,42810666.66666666,1598499.9999999998,389083.33333333326,0.0,0.0,11522.999999999998,91499.74999999999,16117.249999999998,"['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",-2572549.9999999995,-11554816.666666666,29516.666666666664,-184000.0,0.0,-34569000.0,0.0,-1781925.0,-788900.0,-712233.3333333334,0.0,-229999.99999999997,0.0,0.0,0.0,-16104216.666666666,24714649.999999996,16951383.333333332,-7451233.333333333,0.0,0.0,0.0,0.0,8610433.333333332,8608133.333333334,36800.0,17243100.0,"['2019/12', '2018/12', '2017/12']","['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",3359533.3333333335,0.0,252856633.33333334,1617666.6666666667,257833833.3333333,4459700.0,0.0,158351166.66666666,79925.0,94969683.33333331,95022966.66666666,0.0,17243100.0,14999833.333333332,19459533.33333333,"['2019/12', '2018/12', '2017/12']",3.065824716581538,1.3193253096016728
NEW ORIENTAL-S,HKG:9901,1190.0,10.0, 2020/11/09," Credit Suisse (Hong Kong) Limited, Merrill Lynch (Asia Pacific) Limited, UBS AG Hong Kong Branch, China International Capital Corporation Hong Kong Securities Limited, Citigroup Global Markets Limited, CLSA Limited, ABCI Securities Company Limited, BOCI Asia Limited, CCB International Capital Limited, CMB International Capital Limited, The Hongkong and Shanghai Banking Corporation Limited, ICBC International Securities Limited, Macquarie Capital Limited, Nomura International (Hong Kong) Limited, Starwin Financial Group Limited"," Merrill Lynch Far East Limited, UBS Securities Hong Kong Limited, Credit Suisse (Hong Kong) Limited", N/A,9786500.0,N/A,N/A,238062075913.0,0, 510600,0.052199999999999996, 7999400,0.8173999999999999,"['2018/05', '2019/05', '2020/05']",1.6433333333333333,1.6233333333333333,15.946666666666667,20.633333333333336,14.133333333333333,13.356666666666667,10.82,6.286666666666666,12.806666666666667,12.790000000000001,10.446666666666667,93.92666666666666,0,"['2020/05', '2019/05', '2018/05']","['USD', 'USD', 'USD']","['Thousand', 'Thousand', 'Thousand']",23718767799.999996,3017843400.0,0.0,-3335800.0,3014507599.9999995,726658399.9999999,-175723600.0,2463572800.0000005,894400.0,24343800.0,0.0,0.0,185788.19999999998,164151.0,210639.0,"['USD', 'USD', 'USD']","['Thousand', 'Thousand', 'Thousand']",6217198000.0,-554993400.0,0.0,0.0,0.0,-554993400.0,0.0,0.0,-5819385000.0,-2095698799.9999998,133970200.00000001,-21150935000.0,17590846000.0,-85367099.99999999,-240655999.99999997,212815199.99999997,637153399.9999999,454182300.0,0.0,0.0,0.0,616140200.0,-221366599.99999997,849968600.0,7929121200.0,-135608200.0,8643481600.0,"['2020/05', '2019/05', '2018/05']","['USD', 'USD', 'USD']","['Thousand', 'Thousand', 'Thousand']",8048963000.0,3299758800.0,26427897599.999996,1694386200.0,39471005599.99999,5039817899.999999,111332000.0,16214827200.0,12376000.0,18410106000.0,18422482000.0,261417000.0,9915991799.999998,2997064199.9999995,6538350000.0,"['2020/05', '2019/05', '2018/05']",0,0
REMEGEN-B,HKG:9995,52.1,500.0, 2020/11/09," Morgan Stanley Asia Limited, Huatai Financial Holdings (Hong Kong) Limited, J.P. Morgan Securities (Far East) Limited, UBS AG Hong Kong Branch, BOCI Asia Limited, BOCOM International Securities Limited, Haitong International Securities Company Limited, Zhongtai International Securities Limited"," J.P. Morgan Securities (Far East) Limited, Huatai Financial Holdings (Hong Kong) Limited, Morgan Stanley Asia Limited", N/A,76537000.0,50.3,52.1,5471660902.5,0.017578125036230716, 30615000,0.4, 45922000,0.6,"['2018/12', '2019/12']",0.115,0.08,-1.1500000000000001,-14.545,-19.98,119.84,157.31,0,0,0,0,0.19,0,"['2019/12', '2018/12']","['RMB', 'RMB']","['Thousand', 'Thousand']",13019150.0,-402631100.0,0.0,0.0,-402631100.0,0.0,0.0,-402631100.0,37611325.0,48210299.99999999,0.0,0.0,0.0,-114999.99999999999,-68298.49999999999,"['RMB', 'RMB']","['Thousand', 'Thousand']",-236291650.0,-51230200.0,96600.0,-51326799.99999999,0.0,0.0,0.0,0.0,-99056400.0,-85635325.0,228850.0,-11500000.0,17250000.0,0.0,-16410500.0,-386578249.99999994,404153124.99999994,167900000.0,-50811600.0,0.0,0.0,0.0,0.0,17574875.0,5203174.999999999,0.0,22778050.0,"['2019/12', '2018/12']","['RMB', 'RMB']","['Thousand', 'Thousand']",499504225.0,12345824.999999998,116413349.99999999,73468325.0,701731725.0,4106649.9999999995,51471700.0,1065987899.9999999,0.0,-419834524.99999994,-419834524.99999994,35027850.0,46276000.0,36071475.0,40178125.0,"['2019/12', '2018/12']",-9.73271662323154,-9.426104516085191
TRANSTECH,HKG:9963,N/A,2000.0, 2020/11/05, N/A, ICBC International Capital Limited, N/A, N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['2017/12', '2018/12', '2019/12']",5.026666666666666,4.12,0.3133333333333333,3.2266666666666666,3.186666666666666,12.243333333333332,12.14,10.063333333333333,17.02,17.02,14.666666666666666,4.906666666666666,0,"['2019/12', '2018/12', '2017/12', '2016/12', '2015/12']","['HKD', 'HKD', 'HKD', 'HKD', 'HKD']","['Thousand', 'Thousand', 'Thousand', 'Thousand', 'Thousand']",486534400.0,65105000.0,0.0,0.0,65105000.0,10386500.0,392000.0,56639000.0,19100600.0,1862600.0,0.0,0.0,12858.75,2192.500000000001,19127.499999999996,"['HKD', 'HKD', 'HKD', 'HKD', 'HKD']","['Thousand', 'Thousand', 'Thousand', 'Thousand', 'Thousand']",42313600.0,-1021600.0,840800.0,-1862400.0,0.0,0.0,0.0,-7427250.0,-29627400.0,-20408400.0,31000.0,0.0,0.0,25858500.0,-48921500.0,5722800.0,13514800.0,108049800.0,-113977800.0,0.0,0.0,109200000.0,-11071000.0,19237600.0,121472200.0,1644200.0,142354000.0,"['2019/12', '2018/12', '2017/12', '2016/12', '2015/12']","['HKD', 'HKD', 'HKD', 'HKD', 'HKD']","['Thousand', 'Thousand', 'Thousand', 'Thousand', 'Thousand']",146077800.0,0.0,471056800.0,35660400.0,652795000.0,3599666.6666666665,4373750.0,154603400.0,26741600.0,452681800.0,479423400.0,91897600.0,142354000.0,41104600.0,43264400.0,"['2019/12', '2018/12', '2017/12', '2016/12', '2015/12']",0,0
JW THERAP-B,HKG:2126,23.8,500.0, 2020/11/03," Goldman Sachs (Asia) L.L.C., UBS AG Hong Kong Branch, China International Capital Corporation Hong Kong Securities Limited, CLSA Limited, ICBC International Securities Limited, SPDB International Capital Limited, Mirae Asset Securities (HK) Limited, BOCI Asia Limited"," UBS Securities Hong Kong Limited, Goldman Sachs (Asia) L.L.C.", N/A,97692000.0,20.0,23.8,8238259415.0,0.08675799085649454, 48846000,0.5, 48846000,0.5,"['2018/12', '2019/12']",1.4449999999999998,1.4449999999999998,-147.40499999999997,-154.82999999999998,341.475,77.12,0,0,0,0,0,0,0,"['2019/12', '2018/12']","['RMB', 'RMB']","['Thousand', 'Thousand']",0.0,-182224974.99999997,0.0,0.0,-520876975.0,0.0,0.0,-520876975.0,12886900.0,1607699.9999999998,358799.99999999994,0.0,0.0,0.0,-152133.49999999997,"['RMB', 'RMB']","['Thousand', 'Thousand']",-171385074.99999997,-959099.9999999999,1674399.9999999998,-2633500.0,0.0,0.0,0.0,0.0,-92978650.0,-83715974.99999999,0.0,0.0,0.0,0.0,-9262675.0,-265322824.99999994,384361050.0,35004274.99999999,-27565499.999999996,0.0,0.0,376922274.99999994,0.0,119038224.99999999,89047375.0,15318574.999999998,223404175.0,"['2019/12', '2018/12']","['RMB', 'RMB']","['Thousand', 'Thousand']",157445349.99999997,0.0,248776050.0,174207175.0,580428575.0,1102202549.9999998,0.0,200161525.0,4600.0,-721940100.0,-721935500.0,0.0,246325400.0,30617600.0,1132820150.0,"['2019/12', '2018/12']",-4.107409047981052,5.626190331242214
GDS-SW,HKG:9698,80.88,100.0, 2020/11/02," J.P. Morgan Securities (Asia Pacific) Limited, Merrill Lynch (Asia Pacific) Limited, China International Capital Corporation Hong Kong Securities Limited, Haitong International Securities Company Limited, ABCI Securities Company Limited, BOCI Asia Limited, CCB International Capital Limited, CMB International Capital Limited, DBS Asia Capital Limited, ICBC International Securities Limited, Orient Securities (Hong Kong) Limited, UOB Kay Hian (Hong Kong) Limited, China Everbright Securities (HK) Limited, CLSA Limited, Guotai Junan Securities (Hong Kong) Limited, Zhongtai International Securities Limited"," Merrill Lynch Far East Limited, J.P. Morgan Securities (Far East) Limited, Haitong International Capital Limited, China International Capital Corporation Hong Kong Securities Limited", N/A,160000000.0,N/A,N/A,126521407330.0,0, 8000000,0.05, 152000000,0.95,"['2017/12', '2018/12', '2019/12']",1.2166666666666666,1.2166666666666666,159.41,179.19000000000003,64.85000000000001,0,0,0,7.586666666666667,0,0,0,0,"['2019/12', '2018/12', '2017/12']","['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",3270081733.3333335,279972866.6666666,0.0,0.0,-459642733.33333325,70149.99999999999,0.0,-481986083.33333325,866973116.6666666,780804766.6666666,0.0,0.0,0.0,69235.75,-27525.25,"['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",43205500.0,-28766100.0,0.0,0.0,0.0,-28766100.0,0.0,0.0,-4549911750.0,-4059394199.9999995,10904875.0,-479109550.0,0.0,0.0,-18677916.666666664,-4516294949.999999,5987470016.666667,4931743949.999999,-2556519383.3333335,1642575474.9999998,0.0,2661475666.6666665,-144280533.3333333,1471175066.6666667,2327347000.0,113628433.33333331,3912150499.9999995,"['2019/12', '2018/12', '2017/12']","['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",16154381200.0,0.0,4820850983.333333,4141665199.9999995,25116897383.33333,12241675633.333332,883227600.0,3806677866.666666,411316.6666666667,7777812249.999999,7778223566.666666,0.0,3791637783.333333,1417894416.6666667,13659570049.999998,"['2019/12', '2018/12', '2017/12']",0,0
SHIMAO SERVICES,HKG:0873,16.6,1000.0, 2020/10/30," China International Capital Corporation Hong Kong Securities Limited, Morgan Stanley Asia Limited, Goldman Sachs (Asia) L.L.C., The Hongkong and Shanghai Banking Corporation Limited"," Morgan Stanley Asia Limited, China International Capital Corporation Hong Kong Securities Limited","
Bank Area Branch Address
Industrial and Commercial Bank of China (Asia) Limited Hong Kong Island Queen’s Road Central Branch Basement, Ground Floor and First Floor,122-126 Queen’s Road Central
Fortress Hill Branch Shop A–C, G/F, Kwong Chiu Terrace, 272–276 King’s Road, Hong Kong
Kowloon Tsim Sha Tsui Branch Shop 1&2, G/F, No. 35-37 Hankow Road, Tsimshatsui
Wong Tai Sin Branch Shop 128, Level One, Wong Tai Sin
New Territories Sha Tsui Road Branch Shop 4, G/F., Chung On Building,297-313 Sha Tsui Road, Tsuen Wan
Tai Po Branch Shop F, G/F, Mee Fat Building,No 34-38 Tai Wing Lane, Tai Po
The Bank of East Asia, Limited Hong Kong Island Main Branch 10 Des Voeux Road Central
Shaukiwan Branch G/F, Ka Fook Building,289-293 Shau Kei Wan Road
Kowloon 133 Wai Yip Street Branch G/F, 133 Wai Yip Street,Kwun Tong, Kowloon
Mei Foo Sun Chuen Branch Shop N57, G/F, Mount Sterling Mall",588236000.0,14.8,17.2,37647072000.0,0.075, 58824000,0.1, 529412000,0.9,"['2017/12', '2018/12', '2019/12']",1.4900000000000002,1.4633333333333336,49.16,121.26333333333334,76.40666666666667,67.76666666666667,56.656666666666666,6.823333333333333,16.126666666666665,16.333333333333332,12.293333333333331,2.9966666666666666,0,"['2019/12', '2018/12', '2017/12']","['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",1863359183.333333,324839350.0,0.0,-1389199.9999999998,324727800.0,79583066.66666667,0.0,245144733.33333334,7961066.666666667,80818933.33333331,0.0,0.0,28574.816666666666,65981.24999999999,113510.75,"['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",455973466.6666667,1520683.3333333333,86337016.66666666,-84816333.33333331,0.0,0.0,0.0,-29722516.666666668,-183840150.0,-44904433.333333336,0.0,-172351650.0,0.0,-73359266.66666666,-8125900.0,243931483.33333334,-89208950.0,0.0,-331600583.3333333,0.0,0.0,0.0,0.0,154722533.3333333,605897433.3333334,0.0,760619966.6666665,"['2019/12', '2018/12', '2017/12']","['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",65552299.999999985,4245799.999999999,3197982483.3333335,143426466.6666667,3408376516.666666,282474883.3333333,19954800.0,2397578650.0,0.0,721671383.3333333,721671383.3333333,318291250.0,760619966.6666665,352965283.33333325,635440166.6666666,"['2019/12', '2018/12', '2017/12']",38.392731803878576,9.498755470593869
KWG LIVING,HKG:3913,7.89,1000.0, 2020/10/30," ABCI Securities Company Limited, Huatai Financial Holdings (Hong Kong) Limited, China International Capital Corporation Hong Kong Securities Limited, Credit Suisse (Hong Kong) Limited, Morgan Stanley Asia Limited, BOCI Asia Limited, CGS-CIMB Securities (Hong Kong) Limited, CLSA Limited, CRIC Securities Company Limited, HeungKong Securities Limited"," ABCI Capital Limited, Huatai Financial Holdings (Hong Kong) Limited","
Bank Area Branch Address
Hang Seng Bank Limited Hong Kong Island Head Office 83 Des Voeux Road Central
North Point Branch 335 King’s Road
Kowloon Yaumati Branch 363 Nathan Road
Industrial and Commercial Bank of China (Asia) Limited Hong Kong Island Sheung Wan Branch Shop F, G/F, Kai Tak Commercial Building, 317-319 Des Voeux Road Central, Sheung Wan
Kowloon Lai Chi Kok Branch Shop G06, G/F, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Lai Chi Kok, Kowloon
New Territories Kwai Fong Branch C63A-C66, 2/F, Kwai Chung Plaza, Kwai Fong
Standard Chartered Bank (Hong Kong) Limited Hong Kong Island Wanchai Southorn Branch Shop C2 on G/F and 1/F to 2/F, Lee Wing Building, No. 156-162 Hennessy Road, Wanchai
Kowloon Kwun Tong Branch G/F & 1/F One Pacific Centre, 414 Kwun Tong Road, Kwun Tong
68 Nathan Road Branch Basement, Shop B1, G/F Golden Crown Court,66-70 Nathan Road,Tsimshatsui",383384000.0,7.0,8.13,15264734412.5,0.0746860541881701, 115016000,0.3, 268368000,0.7,"['2017/12', '2018/12', '2019/12']",1.1266666666666667,1.1266666666666667,1.3266666666666667,2.3066666666666666,2.21,41.56666666666666,39.56333333333333,6.553333333333334,16.83,16.843333333333334,12.686666666666667,0,0,"['2019/12', '2018/12', '2017/12']","['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",861501416.6666665,157691066.66666666,0.0,657224.9999999999,158129216.66666666,39749366.666666664,114999.99999999999,118341516.66666666,12292733.333333334,282133.3333333333,0.0,0.0,28039.300000000003,64917.50000000001,122198.99999999999,"['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",168415583.33333334,944533.3333333333,1354316.6666666665,-282133.3333333333,0.0,-382950.0,0.0,-19705633.333333332,29804550.0,-2324149.9999999995,237475.0,1269024.9999999998,0.0,32232199.999999996,-3323499.9999999995,179459033.3333333,-158177516.66666663,0.0,-2194966.6666666665,0.0,0.0,0.0,0.0,21281516.666666668,303118149.99999994,0.0,324399666.6666667,"['2019/12', '2018/12', '2017/12']","['RMB', 'RMB', 'RMB']","['Thousand', 'Thousand', 'Thousand']",10691933.333333332,5834525.0,1563879249.9999998,99135366.66666667,1677596233.3333333,3366816.666666666,9294300.0,1389937916.6666667,0.0,270073283.3333333,270073283.3333333,0.0,354186583.33333325,2528850.0,5895666.666666667,"['2019/12', '2018/12', '2017/12']",24.507882285886993,10.419090781668926
